-9.5274,6.0488
-10.1289,6.7467
-1.2754,7.183
-7.2061,-5.2319
-11.8955,5.8114
-5.5931,-7.12
4.8997,2.5511
-6.2602,-7.7257
-3.228,8.7358
2.8529,2.958
-3.4118,11.7927
5.1754,0.9338
-2.1959,6.0748
-4.6323,8.3833
-9.8143,6.5928
-3.5623,8.5228
-11.2796,7.3957
1.6022,2.2529
-2.3636,10.4673
-1.6289,12.3
6.3778,0.7421
-2.7511,9.6204
-5.4169,-7.1007
-9.0068,6.9921
-3.2043,8.3157
-8.0436,9.4859
-9.7035,8.4566
-8.107,-3.7415
-6.898,-8.226
3.3056,0.7495
-3.995,8.1648
3.0335,2.6969
-7.5928,6.0394
4.961,0.1046
-11.1111,9.3738
-2.168,10.975
-7.7028,5.9403
-6.5122,-7.6405
-8.9989,5.7707
-6.367,-4.0659
6.5402,0.9117
-2.1229,8.9026
-9.5697,6.6747
-7.0514,-5.0234
-2.5613,7.2613
-1.9671,11.3213
-8.731,6.607
3.9118,2.096
-8.3319,6.7057
7.0189,0.1164
-6.7659,-7.8959
-8.8503,9.5434
-6.3297,-8.2899
-0.2924,8.2369
-5.1107,-6.7788
5.4125,7.7523
-8.2466,6.692
6.0849,2.5923
4.8102,2.9664
-3.2002,10.6
-8.4849,8.4798
7.8394,-0.955
5.9893,2.4341
-4.22,9.0029
-7.2531,-5.4228
-8.2272,-6.1422
-7.9573,-7.2003
-5.8122,-8.5671
-9.4347,-6.9634
-4.1027,9.7247
-4.9214,-6.8486
-5.292,-9.5182
-9.8879,7.6445
5.3497,1.8639
-3.0974,6.819
-8.4326,7.2482
-9.9808,-7.0138
-8.0183,-6.6545
-3.4102,8.5767
-5.1105,-7.5839
-4.0284,9.4857
-2.6172,10.5196
-8.087,5.8572
-2.0123,10.4776
-5.454,-7.7455
-7.5848,5.629
-7.0867,7.7052
7.4385,2.6839
7.2881,2.5806
2.5734,0.5664
-11.3424,8.1386
-2.5629,11.3613
-8.1199,7.824
-1.1361,9.5074
-3.3038,9.7842
-9.6688,5.5267
-8.4811,-7.0937
-2.1194,10.187
-9.9832,4.6162
-8.2182,10.1387
3.9275,0.9932
5.1766,2.8143
